State,Web.Group,Measure,Val,Rate,Date
Alabama,Prison,Residents.Confirmed,0,0,3/29/2020
Alabama,Prison,Staff.Confirmed,4,0.001085187,3/29/2020
Alabama,Prison,Residents.Confirmed,0,0,4/5/2020
Alabama,Prison,Residents.Deaths,0,0,4/5/2020
Alabama,Prison,Staff.Confirmed,2,5.43E-04,4/5/2020
Alabama,Prison,Staff.Deaths,0,0,4/5/2020
Alabama,Prison,Residents.Confirmed,3,1.41E-04,4/12/2020
Alabama,Prison,Residents.Deaths,1,4.70E-05,4/12/2020
Alabama,Prison,Staff.Confirmed,6,0.001627781,4/12/2020
Alabama,Prison,Staff.Deaths,0,0,4/12/2020
Alabama,Prison,Residents.Confirmed,4,1.88E-04,4/19/2020
Alabama,Prison,Residents.Deaths,1,4.70E-05,4/19/2020
Alabama,Prison,Staff.Confirmed,9,0.002441671,4/19/2020
Alabama,Prison,Staff.Deaths,0,0,4/19/2020
Alabama,Prison,Residents.Confirmed,6,2.82E-04,4/26/2020
Alabama,Prison,Residents.Deaths,1,4.70E-05,4/26/2020
Alabama,Prison,Staff.Confirmed,16,0.004340749,4/26/2020
Alabama,Prison,Staff.Deaths,0,0,4/26/2020
Alabama,Prison,Residents.Confirmed,9,4.23E-04,5/3/2020
Alabama,Prison,Residents.Deaths,1,4.70E-05,5/3/2020
Alabama,Prison,Staff.Confirmed,17,0.004612046,5/3/2020
Alabama,Prison,Staff.Deaths,0,0,5/3/2020
Alabama,Prison,Residents.Confirmed,9,4.23E-04,5/10/2020
Alabama,Prison,Residents.Deaths,1,4.70E-05,5/10/2020
Alabama,Prison,Staff.Confirmed,30,0.008138904,5/10/2020
Alabama,Prison,Staff.Deaths,0,0,5/10/2020
Alabama,Prison,Residents.Confirmed,9,4.23E-04,5/17/2020
Alabama,Prison,Residents.Deaths,1,4.70E-05,5/17/2020
Alabama,Prison,Staff.Confirmed,43,0.011665762,5/17/2020
Alabama,Prison,Staff.Deaths,0,0,5/17/2020
Alabama,Prison,Residents.Confirmed,12,5.65E-04,5/24/2020
Alabama,Prison,Residents.Deaths,1,4.70E-05,5/24/2020
Alabama,Prison,Staff.Confirmed,61,0.016549105,5/24/2020
Alabama,Prison,Staff.Deaths,0,0,5/24/2020
Alabama,Prison,Residents.Confirmed,22,0.001035051,5/31/2020
Alabama,Prison,Residents.Deaths,2,9.41E-05,5/31/2020
Alabama,Prison,Staff.Confirmed,83,0.022517634,5/31/2020
Alabama,Prison,Staff.Deaths,0,0,5/31/2020
Alabama,Prison,Residents.Confirmed,28,0.001317337,6/7/2020
Alabama,Prison,Residents.Deaths,2,9.41E-05,6/7/2020
Alabama,Prison,Staff.Confirmed,116,0.031470429,6/7/2020
Alabama,Prison,Staff.Deaths,0,0,6/7/2020
Alabama,Prison,Residents.Confirmed,48,0.002258292,6/14/2020
Alabama,Prison,Residents.Deaths,6,2.82E-04,6/14/2020
